year,monthsIncluded,completedYear,beginningCustomers,plannedGrossAdditions,capacitySupportedGrossAdditions,blockedUnservedDemand,newCustomers,reactivations,totalPayingAdds,churnedCustomers,endingCustomers,grossRevenue,netRevenue,revenue,directProviderCosts,grossProfit,grossMargin,salesMarketing,salesAndMarketingFullyLoaded,customerSupport,contributionProfit,contributionMargin,totalOpex,taxReserve,operatingProfit,operatingMargin,cashFlowBeforeInvestorDistribution,arrExitRunRate,arpa,cashBlendedCac,fullyLoadedBlendedCac,retention12,retention24,grr,nrr,revenueRetentionAuthority,payroll,endingCash,companyDistributionPool,investorDistributions,otherOwnerDistributions,marketPenetration,growthRate,growthEndurance,growthBenchmarkMedian,growthBenchmarkUpperQuartile,growthEnduranceHistoricalReference,growthEnduranceRecentReference,growthBenchmarkStatus,status,actualMonths,forecastMonths,unclassifiedOperatingCosts,classifiedVariableSubtotal,classifiedFixedSubtotal,variableOperatingCosts,fixedCommittedOperatingCosts,totalModeledOperatingCosts,actualTaxPayments,openingInvestment,openingExistingCash,openingForecastLegalPayment,openingActualLegalPayment,openingCompanyCash,openingPaymentStatus,founderPay,businessFixedCommittedCosts,businessOperatingCosts,operatingResultBeforeFounderPay,founderAssumedProfitWithdrawals,founderAssumedTotalReceiptsBeforePersonalTax,overheadBudgetStatus
1,12,true,0,87,87,0,87,0,87,10.967011832405833,76.03298816759417,103993.09010141616,103993.09010141616,103993.09010141616,20394.463056480003,83598.62704493615,0.8038863636363635,0,0,0,83598.62704493615,0.8038863636363635,4800,0,78798.62704493615,0.7577294507557197,78798.62704493616,240872.50651493834,264,0,0,0.6841515773798097,0.5206591744446304,,,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,0,88798.62704493615,0,0,0,,,,0.26,0.5,0.8,0.65,Reference comparison unavailable until two complete modeled years exist.,FORECAST,0,12,0,20394.463056480003,4800,20394.463056480003,4800,25194.463056480003,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,0,4800,25194.463056480003,78798.62704493615,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
2,12,true,76.03298816759417,223.5234375,222.32696164772727,1.1964758522727248,222.32696164772727,0,222.32696164772727,52.381041781539295,245.97890803378212,488841.4317581888,488841.4317581888,488841.4317581888,95868.4707873048,392972.960970884,0.8038863636363637,0,34500,12500,345972.960970884,0.7077406670022676,109628,0,283344.96097088396,0.5796255034107745,283344.96097088396,779261.1806510219,264.00000000000006,0,155.17686089132354,0.6841515773798097,0.5206591744446304,0.7162488726571565,0.7162488726571565,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,74000,372143.58801582013,0,0,0,,3.7007107037733062,,0.26,0.5,0.8,0.65,Scenario growth is above the 2024 private-SaaS 75th-percentile reference; inspect its explicit drivers.,FORECAST,0,12,0,95868.4707873048,109628,95868.4707873048,109628,205496.4707873048,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,42000,67628,163496.4707873048,325344.96097088396,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
3,12,true,245.97890803378212,577.7578125,544.8209446945763,32.93686780542372,544.8209446945763,0,544.8209446945763,143.70313229187462,647.0967204364838,1370787.6200793888,1370787.6200793888,1370787.6200793888,268842.9012289059,1101944.718850483,0.8038770577652752,0,96000,78000,927944.7188504827,0.6769427336940357,276736,0,825208.7188504827,0.6019960399136746,825208.7188504827,2047479.2111056857,263.6876179790272,0,176.2046796013268,0.6841515773798097,0.5206591744446304,0.7281935120068472,0.7281935120068472,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,223500,1197352.3068663029,0,0,0,,1.8041559717005842,0.4875160789685713,0.26,0.5,0.8,0.65,Scenario growth is above the 2024 private-SaaS 75th-percentile reference; inspect its explicit drivers.,FORECAST,0,12,0,268842.9012289059,276736,268842.9012289059,276736,545578.9012289059,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,67000,209736,478578.90122890583,892208.7188504827,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
4,12,true,647.0967204364838,1043.3671875,999.765273363377,43.60191413662304,999.765273363377,0,999.765273363377,327.8426115756152,1319.0193822242456,3145863.8923490196,3145863.8923490196,3145863.8923490196,616963.4258564789,2528900.466492541,0.8038810810102177,0,186500,156500,2185900.4664925416,0.6948490275783443,467932,0,2060968.4664925411,0.6551359299125984,2060968.466492541,4176805.7193951486,263.8225806017995,0,186.54378679565747,0.6841515773798097,0.5206591744446304,0.7310140727134344,0.7310140727134344,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,410000,3258320.773358844,0,0,0,,1.2949316482496593,0.7177492791984422,0.26,0.5,0.8,0.65,Scenario growth is above the 2024 private-SaaS 75th-percentile reference; inspect its explicit drivers.,FORECAST,0,12,0,616963.4258564787,467932,616963.4258564787,467932,1084895.4258564787,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,395932,1012895.4258564787,2132968.4664925416,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
5,12,true,1319.0193822242456,1377.3515625,1356.5978072569317,20.753755243068397,1356.5978072569317,0,1356.5978072569317,567.1068773356283,2108.510312145549,5547717.978561771,5547717.978561771,5547717.978561771,1087995.703315023,4459722.275246748,0.8038841001796774,0,250500,222500,3986722.2752467473,0.7186238180550578,628572,0,3831150.2752467473,0.6905812966793892,3831150.2752467464,6678354.52820155,263.9239515696871,0,184.65310695622904,0.6841515773798097,0.5206591744446304,0.7363135317719097,0.7363135317719097,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,540000,7089471.048605592,0,0,0,,0.7634958689898323,0.5896032196153664,0.26,0.5,0.8,0.65,Scenario growth is above the 2024 private-SaaS 75th-percentile reference; inspect its explicit drivers.,FORECAST,0,12,0,1087995.703315023,628572,1087995.703315023,628572,1716567.7033150229,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,556572,1644567.7033150229,3903150.2752467473,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
6,12,true,2108.510312145549,1440,1436.931126198088,3.068873801912133,1436.931126198088,0,1436.931126198088,782.9242307941882,2762.5172075494493,7850050.251948392,7850050.251948392,7850050.251948392,1539511.4568024597,6310538.795145933,0.8038851462867578,0,288000,283000,5739538.795145933,0.7311467584199696,878976,0,5431562.795145933,0.6919143981018226,5431562.795145932,8750584.399718057,263.9590936048706,0,200.42714278311055,0.6841515773798097,0.5206591744446304,0.7413172851661661,0.7413172851661661,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,712500,12521033.843751522,0,0,0,,0.4150052836650311,0.5435593046680359,0.26,0.5,0.8,0.65,Scenario growth is between the 2024 private-SaaS median and 75th-percentile references.,FORECAST,0,12,0,1539511.45680246,878976,1539511.45680246,878976,2418487.45680246,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,806976,2346487.45680246,5503562.795145933,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
7,12,true,2762.5172075494493,1440,1440,0,1440,0,1440,940.830818803845,3261.6863887456034,9643085.22658363,9643085.22658363,9643085.22658363,1891147.7821371767,7751937.444446453,0.8038856094599532,0,288000,330000,7133937.444446453,0.7397982364378498,1127040,0,6624897.444446453,0.6870101517077988,6624897.444446454,10332208.091937594,263.9746560421342,0,200,0.6841515773798097,0.5206591744446304,0.745548112432583,0.745548112432583,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,978000,19145931.288197972,0,0,0,,0.22841063650391336,0.5503800686264843,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,1891147.7821371767,1127040,1891147.7821371767,1127040,3018187.782137177,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,1055040,2946187.782137177,6696897.444446453,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
8,12,true,3261.6863887456034,1440,1422.4848221317734,17.5151778682267,1422.4848221317734,0,1422.4848221317734,1055.7376655409214,3628.4335453364556,10971421.179470371,10971421.179470371,10971421.179470371,2151650.8382326937,8819770.341237677,0.8038858591757607,0,288000,376500,8155270.341237678,0.7433194121193478,1179096,0,7640674.341237678,0.6964160992684195,7640674.341237673,11494257.699058043,263.9830471564799,0,202.4626171886991,0.6841515773798097,0.5206591744446304,0.7478853184947009,0.7478853184947009,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,1022000,26786605.62943565,0,0,0,,0.1377500998565111,0.6030809333791731,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,2151650.8382326937,1179096,2151650.8382326937,1179096,3330746.8382326937,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,1107096,3258746.8382326937,7712674.341237678,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
9,12,true,3628.4335453364556,1440,1440,0,1440,0,1440,1147.7143500218813,3920.7191953145734,12017052.393010193,12017052.393010193,12017052.393010193,2356712.055194395,9660340.337815799,0.8038860131320394,0,288000,396000,8976340.337815799,0.7469668970601271,1194624,0,8465716.337815799,0.7044752790409688,8465716.337815795,12420366.745873831,263.9882207621773,0,200,0.6841515773798097,0.5206591744446304,0.7492558946658912,0.7492558946658912,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,1044000,35252321.96725144,0,0,0,,0.09530499252880742,0.6918687727129266,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,2356712.0551943956,1194624,2356712.0551943956,1194624,3551336.0551943947,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,1122624,3479336.0551943947,8537716.337815799,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
10,12,true,3920.7191953145734,1440,1431.7564304363825,8.24356956361747,1431.7564304363825,0,1431.7564304363825,1217.7137209890516,4134.761904761905,12815591.662392717,12815591.662392717,12815591.662392717,2513315.488539321,10302276.173853394,0.8038861135132267,0,288000,396000,9618276.173853394,0.7505136264662811,1194624,0,9107652.173853396,0.7106696603466035,9107652.17385339,13098566.763642931,263.99159411922125,0,201.15153239592644,0.6841515773798097,0.5206591744446304,0.7500950795249024,0.7500950795249024,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,1044000,44359974.14110483,0,0,0,,0.06645051076310526,0.6972406061835592,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,2513315.488539321,1194624,2513315.488539321,1194624,3707939.488539321,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,72000,1122624,3635939.488539321,9179652.173853394,,,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
