locked,actualCashBasis,cashNormalizationVersion,originalBeginningCash,originalEndingCash,cashBasisAdjustment,cashBasisProvenance,protectionAuthority,unclassifiedOperatingCosts,expenseClassificationStatus,staffingEvidenceStatus,legalReviewEarmark,legalReviewPayment,unearmarkedOperatingCash,grossForwardOperatingReserve,legalReserveOverlapCredit,variableOperatingCosts,fixedCommittedOperatingCosts,totalModeledOperatingCosts,operatingLedgerDifference,cashReconciliationDifference,actualTaxPayments,taxEarmark,restrictedCash,contingencyProtection,distributionCashCapacity,distributionRequest,earningsEligibilityBalance,distributionStatus,unfundedContinuation,paidMediaSpend,nonPayrollAcquisitionCash,cashAcquisitionIncludingPaidLabor,totalCashAcquisitionCac,month,calendarDate,status,beginningCustomers,openingInvestment,openingExistingCash,openingForecastLegalPayment,openingActualLegalPayment,openingCompanyCash,openingPaymentStatus,forecastExpectedCustomers,plannedNewPayingCustomers,plannedGrossAdditions,realizedGrossAdditions,blockedUnservedDemand,limitingFunctions,acquisitionPhase,acquisitionAuthority,heldAfterPeak,plannedAddsMonthOverMonthChange,plannedAddsMonthOverMonthRate,acquisition.newDirect,acquisition.newPaid,acquisition.newOrganic,acquisition.newReferral,acquisition.newPartner,acquisition.newBreakoutEvent,acquisition.newOther,reactivations,voluntaryChurn,involuntaryChurn,churnedCustomers,activeCustomers,grossNewCustomersByPlan.starter,grossNewCustomersByPlan.growth,grossNewCustomersByPlan.complete,reactivatedCustomersByPlan.starter,reactivatedCustomersByPlan.growth,reactivatedCustomersByPlan.complete,planEnding.starter,planEnding.growth,planEnding.complete,mrr,subscriptionRevenue,overageRevenue,grossRevenue,refundsChargebacks,totalRevenue,revenueBreakdownStatus,grossCashCollections,cashRefundsChargebacks,cashCollections,cashBreakdownStatus,providerCosts,customerVariableCosts,paymentFees,cardProcessingFees,stripeBillingFees,paymentCount,directProviderCosts,salesMarketing,salesAndMarketingFullyLoaded,founderCompensation,founderPay,businessFixedCommittedCosts,businessOperatingCosts,operatingResultBeforeFounderPay,founderAssumedProfitWithdrawals,founderAssumedTotalReceiptsBeforePersonalTax,founderPayEvent,overheadBudgetStatus,headcount.loadedPayroll,headcount.oneTime,contractors.cost,employeeSoftwareExpense,employeePayroll,monthlyPayroll,sharedInfrastructure,baseFixedOperatingCost,customerUsageVariableCosts,stepFixedOperatingCosts,peopleOperatingCosts,directCustomerSupportCash,customerSupport,customerSupportFullyLoaded,fullyLoadedContributionBreakdownStatus,professionalServices,otherOpex,unclassifiedOpex,totalOperatingExpense,opexBreakdownStatus,cashBlendedCac,fullyLoadedBlendedCac,contributionProfit,operatingProfit,beginningCash,additionalFunding,capitalExpenditures,taxReserve,otherCashOutflows,committedCashExpenses,cashFlowBeforeInvestorDistribution,cashBeforeDistribution,eligibleDistributionPoolBeforeReserve,totalDistributionPool,investorDistribution,otherOwnerDistributions,distributionProjectionAvailable,distributionStatus,investorPrincipalRecovered,investorUnrecoveredInvestment,investorCashProfitAfterRecovery,endingCash,forwardReserve,remainingMarket,remainingModeledAcquisitionCapacity,remainingNeverAcquiredAddressableAccounts,cacByChannel.direct,cacByChannel.paid,cacByChannel.organic,cacByChannel.referral,cacByChannel.partnerships,cacByChannel.breakout,cacByChannel.other,cacByChannel.reactivation,directAcquisitionMethod,directTrialDemoConversion,paidAcquisitionMethod,paidTrialDemoConversion,revenuePerCustomer,supportCostPerCustomer,directProviderCostPerCustomer,organization.stage.label,organization.employeeFte,organization.contractorFteEquivalent,organization.founderCapacityUtilization,organization.automaticPlanEnabled,organization.automaticStaffingEnabled,automaticOrganizationEventCount,automaticOrganizationEventSummary
false,,,,,,,,,,,0,0,9918.339,2595.3738115473425,0,77.66100000000002,400,477.661,0,0,0,0,0,0,7322.9651884526575,0,-15081.661,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,1,2026-09-01,FORECAST,0,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,1.5,1.5,1.5,1.5,0,,first_90_days,FOUNDER_FIRST_90_DAY_TOTAL,false,,,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0.75,0.44999999999999996,0.30000000000000004,0,0,0,0.75,0.44999999999999996,0.30000000000000004,396,396,0,396,0,396,RECONCILED,396,0,396,RECONCILED,62.955000000000005,14.706000000000001,14.706000000000001,11.934000000000001,2.7720000000000002,1.5,77.661,0,0,0,0,400,477.661,-81.661,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,77.661,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,318.339,-81.661,10000,0,0,0,0,477.661,-81.661,9918.339,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,9918.339,2595.3738115473425,,,,0,,,,,,,,milestone,,cac,,264,0,51.774,Founder-Led Launch,0,0,0.5235513856812932,true,true,0,
false,,,,,,,,,,,0,0,10460.4632705,3370.2255597424223,0,229.83772950000002,400,629.8377295,0,0,0,0,0,0,7090.237710757578,0,-14539.5367295,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,2,2026-10-01,FORECAST,1.5,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,4.4392499999999995,3,3,3,0,,first_90_days,FOUNDER_FIRST_90_DAY_TOTAL,false,1.5,1,3,0,0,0,0,0,0,0,0.06074999999999997,0,0.06074999999999997,4.4392499999999995,1.5,0.8999999999999999,0.6000000000000001,0,0,0,2.2196249999999997,1.331775,0.8878500000000001,1171.962,1171.962,0,1171.962,0,1171.962,RECONCILED,1171.962,0,1171.962,RECONCILED,186.3153225,43.522407,43.522407,35.318673000000004,8.203734,4.4392499999999995,229.83772950000002,0,0,0,0,400,629.8377295,542.1242705,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,229.83772950000002,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,942.1242705,542.1242705,9918.339,0,0,0,0,629.8377295,542.1242705,10460.4632705,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,10460.4632705,3370.2255597424223,,,,0,,,,,,,,milestone,,cac,,264.00000000000006,0,51.77400000000001,Founder-Led Launch,0,0,0.5298007909930715,true,true,0,
false,,,,,,,,,,,0,0,11919.44850804475,4247.545764583399,0,453.5123014552501,400,853.51230145525,0,0,0,0,0,0,7671.902743461351,0,-13080.55149195525,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,3,2026-11-01,FORECAST,4.4392499999999995,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,8.759460375,4.5,4.5,4.5,0,,first_90_days,FOUNDER_FIRST_90_DAY_TOTAL,false,1.5,0.5,4.5,0,0,0,0,0,0,0,0.1797896249999999,0,0.1797896249999999,8.759460375,2.25,1.3499999999999999,0.9000000000000001,0,0,0,4.3797301875,2.6278381125,1.7518920750000002,2312.497539,2312.497539,0,2312.497539,0,2312.497539,RECONCILED,2312.497539,0,2312.497539,RECONCILED,367.63455193875006,85.87774951650002,85.87774951650002,69.69026674350002,16.187482773000003,8.759460375,453.51230145525005,0,0,0,0,400,853.51230145525,1458.98523754475,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,453.51230145525005,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,1858.98523754475,1458.98523754475,10460.4632705,0,0,0,0,853.51230145525,1458.98523754475,11919.44850804475,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,11919.44850804475,4247.545764583399,,,,0,,,,,,,,milestone,,cac,,264,0,51.77400000000001,Founder-Led Launch,0,0,0.5367199461403002,true,true,0,
false,,,,,,,,,,,0,0,14438.094138282657,5224.9705304418985,0,712.0237805920925,400,1112.0237805920924,0,0,0,0,0,0,9213.123607840758,0,-10561.905861717343,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,4,2026-12-01,FORECAST,8.759460375,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,13.752535647083333,5.333333333333333,5.333333333333333,5.333333333333333,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.833333333333333,0.18518518518518512,5.333333333333333,0,0,0,0,0,0,0,0.3402580612499999,0,0.3402580612499999,13.752535647083333,2.6666666666666665,1.5999999999999999,1.0666666666666667,0,0,0,6.876267823541665,4.125760694125,2.7505071294166665,3630.66941083,3630.66941083,0,3630.66941083,0,3630.66941083,RECONCILED,3630.66941083,0,3630.66941083,RECONCILED,577.1939211080875,134.82985948400503,134.82985948400503,109.41517360819502,25.41468587581,13.752535647083333,712.0237805920925,0,0,0,0,400,1112.0237805920924,2518.6456302379074,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,712.0237805920925,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,2918.6456302379074,2518.6456302379074,11919.44850804475,0,0,0,0,1112.0237805920924,2518.6456302379074,14438.094138282657,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,14438.094138282657,5224.9705304418985,,,,0,,,,,,,,milestone,,cac,,264,0,51.774,Founder-Led Launch,0,0,0.5418214761028964,true,true,0,
false,,,,,,,,,,,0,0,18156.401186092677,6299.844460558392,0,1004.6894776950799,400,1404.6894776950799,4.547473508864641e-13,0,0,0,0,0,11856.556725534285,0,-6843.598813907323,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,5,2027-01-01,FORECAST,13.752535647083333,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,19.4052898693375,6.166666666666666,6.166666666666666,6.166666666666666,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.833333333333333,0.15624999999999994,6.166666666666666,0,0,0,0,0,0,0,0.5139124444125,0,0.5139124444125,19.4052898693375,3.083333333333333,1.8499999999999996,1.2333333333333334,0,0,0,9.702644934668749,5.821586960801249,3.8810579738675006,5122.9965255051,5122.9965255051,0,5122.9965255051,0,5122.9965255051,RECONCILED,5122.9965255051,0,5122.9965255051,RECONCILED,814.440015816095,190.2494618789849,190.2494618789849,154.3884862004492,35.86097567853571,19.4052898693375,1004.6894776950799,0,0,0,0,400,1404.6894776950799,3718.30704781002,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,1004.6894776950799,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,4118.30704781002,3718.30704781002,14438.094138282657,0,0,0,0,1404.6894776950799,3718.3070478100203,18156.401186092677,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,18156.401186092677,6299.844460558392,,,,0,,,,,,,,milestone,,cac,,264,0,51.774,Founder-Led Launch,0,0,0.5472429427387857,true,true,0,
false,,,,,,,,,,,0,0,23211.596061536395,7469.244080005139,0,1330.8325062962274,400,1730.8325062962274,0,0,0,0,0,0,15742.351981531256,0,-1788.4039384636026,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,6,2027-02-01,FORECAST,19.4052898693375,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,25.704649173257376,7,7,7,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.8333333333333339,0.13513513513513525,7,0,0,0,0,0,0,0,0.7006406960801249,0,0.700640696080125,25.704649173257376,3.5,2.1,1.4000000000000001,0,0,0,12.852324586628686,7.7113947519772115,5.140929834651476,6786.027381739948,6786.027381739948,0,6786.027381739948,0,6786.027381739948,RECONCILED,6786.0273817399475,0,6786.0273817399475,RECONCILED,1078.8241258016121,252.00838049461538,252.00838049461538,204.50618882243575,47.50219167217964,25.704649173257373,1330.8325062962276,0,0,0,0,400,1730.8325062962274,5055.194875443721,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,1330.8325062962276,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,5455.194875443721,5055.194875443721,18156.401186092677,0,0,0,0,1730.8325062962276,5055.19487544372,23211.596061536395,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,23211.596061536395,7469.244080005139,,,,0,,,,,,,,milestone,,cac,,264.00000000000006,0,51.77400000000001,Early Traction,0,0,0.5529780053727115,true,true,0,
false,,,,,,,,,,,0,0,29736.788382373554,8730.333618102235,0,1689.4485464505908,400,2089.4485464505906,0,0,0,0,0,0,21006.45476427132,0,4736.788382373555,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,7,2027-03-01,FORECAST,25.704649173257376,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,32.63121540639298,7.833333333333333,7.833333333333333,7.833333333333333,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.833333333333333,0.119047619047619,7.833333333333333,0,0,0,0,0,0,0,0.9067671001977214,0,0.9067671001977212,32.63121540639298,3.9166666666666665,2.3499999999999996,1.5666666666666667,0,0,0,16.315607703196495,9.789364621917896,6.526243081278597,8614.640867287748,8614.640867287748,0,8614.640867287748,0,8614.640867287748,RECONCILED,8614.640867287748,0,8614.640867287748,RECONCILED,1369.5321106063138,319.91643584427686,319.91643584427686,259.6139497732626,60.30248607101424,32.63121540639299,1689.4485464505906,0,0,0,0,400,2089.4485464505906,6525.192320837157,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,1689.4485464505906,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,6925.192320837157,6525.192320837157,23211.596061536395,0,0,0,0,2089.4485464505906,6525.192320837157,29736.788382373554,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,29736.788382373554,8730.333618102235,,,,0,,,,,,,,milestone,,cac,,264,0,51.77400000000001,Early Traction,0,0,0.5590172561247325,true,true,0,
false,,,,,,,,,,,0,0,37861.094477831095,10080.362377290168,0,2079.563407811573,400,2479.563407811573,0,0,0,0,0,0,27780.732100540925,0,12861.094477831099,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,8,2027-04-01,FORECAST,32.63121540639298,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,40.16617236086786,8.666666666666668,8.666666666666668,8.666666666666668,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.8333333333333348,0.10638297872340445,8.666666666666668,0,0,0,0,0,0,0,1.1317097121917898,0,1.1317097121917898,40.16617236086786,4.333333333333334,2.6,1.7333333333333334,0,0,0,20.08308618043393,12.04985170826036,8.033234472173573,10603.869503269118,10603.869503269118,0,10603.869503269118,0,10603.869503269118,RECONCILED,10603.869503269118,0,10603.869503269118,RECONCILED,1685.7742539856245,393.78915382594863,393.78915382594863,319.5620673030648,74.22708652288384,40.16617236086787,2079.563407811573,0,0,0,0,400,2479.563407811573,8124.306095457545,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,2079.563407811573,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,8524.306095457545,8124.306095457545,29736.788382373554,0,0,0,0,2479.563407811573,8124.306095457545,37861.094477831095,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,37861.094477831095,10080.362377290168,,,,0,,,,,,,,milestone,,cac,,264.00000000000006,0,51.774000000000015,Early Traction,0,0,0.5653515693513061,true,true,0,
false,,,,,,,,,,,0,0,47709.757187259165,11516.662180936213,0,2500.2321257429758,400,2900.2321257429758,0,0,0,0,0,0,36193.095006322954,0,22709.757187259165,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,9,2027-05-01,FORECAST,40.16617236086786,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,48.29126831504183,9.5,9.5,9.5,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.8333333333333321,0.096153846153846,9.5,0,0,0,0,0,0,0,1.3749040458260364,0,1.3749040458260362,48.29126831504183,4.75,2.85,1.9000000000000004,0,0,0,24.145634157520917,14.487380494512548,9.658253663008367,12748.894835171042,12748.894835171042,0,12748.894835171042,0,12748.894835171042,RECONCILED,12748.894835171044,0,12748.894835171044,RECONCILED,2026.7845311823057,473.4475945606702,473.4475945606702,384.2053307144729,89.24226384619732,48.29126831504183,2500.2321257429758,0,0,0,0,400,2900.2321257429758,9848.662709428067,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,2500.2321257429758,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,10248.662709428067,9848.662709428067,37861.094477831095,0,0,0,0,2900.2321257429758,9848.662709428068,47709.757187259165,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,47709.757187259165,11516.662180936213,,,,0,,,,,,,,milestone,,cac,,263.99999999999994,0,51.774,Early Traction,0,0,0.5719720931781958,true,true,0,
false,,,,,,,,,,,0,0,59404.26206482739,16501.087156966336,0,2950.5380845476866,400,3350.5380845476866,0,0,0,0,0,0,42903.17490786105,0,34404.26206482739,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),false,0,0,0,0,10,2027-06-01,FORECAST,48.29126831504183,25000,0,15000,0,10000,FORECAST prelaunch payment; not actual or verified quote,56.988799098923906,10.333333333333332,10.333333333333332,10.333333333333332,0,,month_4_to_12_ramp,FOUNDER_MONTH_12_TARGET,false,0.8333333333333321,0.0877192982456139,10.333333333333332,0,0,0,0,0,0,0,1.6358025494512554,0,1.6358025494512554,56.988799098923906,5.166666666666666,3.0999999999999996,2.0666666666666664,0,0,0,28.494399549461953,17.09663972967717,11.397759819784781,15045.04296211591,15045.04296211591,0,15045.04296211591,0,15045.04296211591,RECONCILED,15045.042962115911,0,15045.042962115911,RECONCILED,2391.8198981818364,558.71818636585,558.71818636585,453.40288563103866,105.31530073481139,56.988799098923906,2950.5380845476866,0,0,0,0,400,3350.5380845476866,11694.504877568223,,,Founder pay unchanged,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them.",0,0,0,0,0,0,0,400,2950.5380845476866,0,0,0,0,0,RECONCILED,0,400,0,400,RECONCILED,0,0,12094.504877568223,11694.504877568223,47709.757187259165,0,0,0,0,3350.5380845476866,11694.504877568224,59404.26206482739,0,0,0,0,false,Unavailable: configure distribution and tax planning (or explicitly opt into provisional untaxed illustration),0,25000,0,59404.26206482739,16501.087156966336,,,,0,,,,,,,,milestone,,cac,,263.99999999999994,0,51.77400000000001,Early Traction,0,0,0.5788702412873918,true,true,0,
