year,monthsIncluded,completedYear,beginningCustomers,plannedGrossAdditions,capacitySupportedGrossAdditions,blockedUnservedDemand,newCustomers,reactivations,totalPayingAdds,churnedCustomers,endingCustomers,grossRevenue,netRevenue,revenue,directProviderCosts,grossProfit,grossMargin,salesMarketing,salesAndMarketingFullyLoaded,customerSupport,contributionProfit,contributionMargin,totalOpex,taxReserve,operatingProfit,operatingMargin,cashFlowBeforeInvestorDistribution,arrExitRunRate,arpa,cashBlendedCac,fullyLoadedBlendedCac,retention12,retention24,grr,nrr,revenueRetentionAuthority,payroll,endingCash,companyDistributionPool,investorDistributions,otherOwnerDistributions,marketPenetration,growthRate,growthEndurance,growthBenchmarkMedian,growthBenchmarkUpperQuartile,growthEnduranceHistoricalReference,growthEnduranceRecentReference,growthBenchmarkStatus,status,actualMonths,forecastMonths,unclassifiedOperatingCosts,classifiedVariableSubtotal,classifiedFixedSubtotal,variableOperatingCosts,fixedCommittedOperatingCosts,totalModeledOperatingCosts,actualTaxPayments,openingInvestment,openingExistingCash,openingForecastLegalPayment,openingActualLegalPayment,openingCompanyCash,openingPaymentStatus,founderPay,businessFixedCommittedCosts,businessOperatingCosts,operatingResultBeforeFounderPay,founderAssumedProfitWithdrawals,founderAssumedTotalReceiptsBeforePersonalTax,overheadBudgetStatus
1,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,3782664,10000,100,9900,,,,0.26,0.5,0.8,0.65,Reference comparison unavailable until two complete modeled years exist.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,9900,51900,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
2,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,6590328,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
3,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,9397992,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
4,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,12205656,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
5,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,15013320,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
6,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,17820984,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
7,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,20628648,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
8,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,23436312,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
9,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,26243976,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
10,12,true,2000,0,0,0,0,0,0,0,2000,3576000,3576000,3576000,721536.0000000001,2854464,0.798228187919463,0,0,0,2854464,0.798228187919463,46800,0,2807664,0.7851409395973155,2807664,3576000,149,,,1,1,1,1,FORECAST BEGINNING-OF-YEAR COHORT MRR — NEW ACQUISITIONS AND REACTIVATIONS EXCLUDED,42000,29051640,0,0,0,,0,,0.26,0.5,0.8,0.65,Scenario growth is at or below the 2024 private-SaaS median reference.,FORECAST,0,12,0,721536.0000000001,46800,721536.0000000001,46800,768336.0000000001,0,1000000,0,15000,0,985000,FORECAST prelaunch payment; not actual or verified quote,42000,4800,726336.0000000001,2849664,0,42000,"Starting overhead budget v1: $400 combined conservative planning amount includes Codex, another subscription, website and database; not verified recurring invoices. The first $100 infrastructure tier reference is treated as covered; only higher automatic tier increments are additional. This fixed scenario reference is provisional overlap treatment, not invoice allocation. Explicit manual and dated infrastructure amounts are additional; if intended as replacements, reconcile the baseline before entering them."
